id,title,provider,resource_type,primary_status_code,official_url,verified_on
editscd-ern-eurobloodnet-eatris-regulatory-path-to-the-clinic,Regulatory Path to the Clinic,EDITSCD / ERN-EuroBloodNet / EATRIS,webinar,upcoming-event,https://eurobloodnet.eu/education-2/patients/webinars/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/7/session-7-regulatory-path-to-the-clinic,2026-08-24
editscd-ern-eurobloodnet-future-developments-and-crispr-cas9-for-sickle-cell-disease,Future Developments and CRISPR/Cas9 for Sickle Cell Disease,EDITSCD / ERN-EuroBloodNet,webinar,upcoming-event,https://editscd.eu/category/events/project-meetings/,2026-08-24
ejp-rd-erdera-via-futurelearn-diagnosing-rare-diseases-from-the-clinic-to-resear,Diagnosing Rare Diseases: from the Clinic to Research and Back,EJP RD / ERDERA via FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/rare-genetic-disease,2026-08-24
ejp-rd-erdera-via-futurelearn-from-lab-to-clinic-translational-research-for-rare,From Lab to Clinic: Translational Research for Rare Diseases,EJP RD / ERDERA via FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/introduction-to-translational-research-for-rare-diseases,2026-08-24
ejp-rd-erdera-via-futurelearn-health-data-ethics-regulatory-frameworks-in-rare-d,Health Data Ethics & Regulatory Frameworks in Rare Disease Research,EJP RD / ERDERA via FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/health-data-ethics-and-regulatory-frameworks-in-rare-disease-research,2026-08-24
ejp-rd-erdera-via-futurelearn-innovative-therapies-and-personalised-medicine-for,Innovative Therapies and Personalised Medicine for Rare Diseases,EJP RD / ERDERA via FutureLearn,course,date-status-unknown,https://www.futurelearn.com/courses/innovative-therapies-and-personalised-medicine-for-rare-diseases,2026-08-24
embl-ebi-training-data-collection-analysis-and-interpretation-for-genomic-medici,"Data Collection, Analysis and Interpretation for Genomic Medicine",EMBL-EBI Training,workshop,past-event,https://www.ebi.ac.uk/training/events/data-collection-analysis-and-interpretation-genomic-medicine/,2026-08-24
embl-ebi-training-methods-in-genomic-variant-calling,Methods in Genomic Variant Calling,EMBL-EBI Training,course,date-status-unknown,https://www.ebi.ac.uk/training/online/courses/methods-in-bioinformatics/genomic-variants/methods-in-genomic-variant-calling/,2026-08-24
embl-ebi-training-next-generation-sequencing-bioinformatics,Next Generation Sequencing Bioinformatics,EMBL-EBI Training,workshop,past-event,https://www.ebi.ac.uk/training/events/next-generation-sequencing-bioinformatics-virtual-0/,2026-08-24
erdera-erdera-data-hub-tutorials-and-onboarding,ERDERA Data Hub tutorials and onboarding,ERDERA,other,date-status-unknown,https://erdera.org/data-hub/,2026-08-24
erdera-erdera-fair-data-bring-your-own-data-hackathons,ERDERA FAIR Data Bring-Your-Own-Data Hackathons,ERDERA,workshop,date-status-unknown,https://erdera.org/training-and-education/,2026-08-24
erdera-erdera-fair-training-programme-20252027,ERDERA FAIR Training Programme 2025–2027,ERDERA,programme,next-date-tba,https://erdera.org/news/fair-training-program-2025-2027-part-1-opens-registration/,2026-08-24
erdera-learning-portal-2nd-erdera-training-for-young-advocates-for-rare-diseases,2nd ERDERA Training for Young Advocates for Rare Diseases,ERDERA Learning Portal,programme,next-date-tba,https://erdera.org/course/ypt2026/,2026-08-24
erdera-learning-portal-bayesian-methods-in-clinical-research,Bayesian Methods in Clinical Research,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-best-practice-to-enable-use-and-sharing-of-ipscs,Best Practice to Enable Use and Sharing of iPSCs,ERDERA Learning Portal,webinar,past-event,https://erdera.org/course/best-practice-to-enable-use-and-sharing-of-ipscs/,2026-08-24
erdera-learning-portal-biomarker-commercialization-toolset,Biomarker Commercialization Toolset,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-cell-and-gene-therapies-atmp-development,Cell and Gene Therapies — ATMP Development,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-clinical-annotation-using-hpo-to-optimize-phenotypic-data,Clinical Annotation Using HPO to Optimize Phenotypic Data Integration and Variant Prioritization,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-clinical-development,Clinical Development,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/course/preclinical-development/,2026-08-24
erdera-learning-portal-collaborations,Collaborations,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-composite-endpoints-including-patient-relevant-endpoints--2,Composite Endpoints Including Patient-Relevant Endpoints: Quality of Life,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-composite-endpoints-including-patient-relevant-endpoints-,Composite Endpoints Including Patient-Relevant Endpoints (Quality of Life),ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-current-research-services-available-for-the-rare-diseases,Current Research Services Available for the Rare Diseases Community,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-definition-of-orphan-drug-by-ema,Definition of Orphan Drug by EMA,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/course/definition-of-orphan-drug-by-the-ema/,2026-08-24
erdera-learning-portal-design-and-interpretation-of-clinical-trials,Design and Interpretation of Clinical Trials,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-designing-and-conducting-clinical-trials-in-rare-diseases,Designing and Conducting Clinical Trials in Rare Diseases — What industries expect for partnering with clinical sites,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/designing-and-conducting-clinical-trials-in-rare-diseases-what-industries-expect-for-partnering-with-clinical-sites/,2026-08-24
erdera-learning-portal-does-randomization-matter-in-clinical-trials-second-porta,Does Randomization Matter in Clinical Trials? — second portal record,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-does-randomization-matter-in-clinical-trials,Does Randomization Matter in Clinical Trials?,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-early-phase-trial-designs-in-rare-diseases,Early-Phase Trial Designs in Rare Diseases,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-educational-webinar-2-practical-guide-on-how-to-use-the-c,Educational Webinar 2: Practical guide on how to use the Catalogue of Services and the IMT,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-ejp-rd-orphanet-training-sessions-orphanet-nomenclature-o,EJP-RD Orphanet Training Sessions — Orphanet Nomenclature of Rare Diseases,ERDERA Learning Portal,programme,next-date-tba,https://erdera.org/course/ejp-rd-orphanet-training-sessions/,2026-08-24
erdera-learning-portal-enhancing-patient-centricity-in-rare-disease-clinical-tri,Enhancing Patient-Centricity in Rare Disease Clinical Trials,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-erdera-diagnostic-research-workstream-webinar-series-an-o,ERDERA diagnostic research workstream webinar series – An overview (session 1),ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/erdera-diagnostic-research-workstream-webinar-series-an-overview-session-1/,2026-08-24
erdera-learning-portal-essential-requirements-before-thinking-about-a-clinical-t,Essential Requirements Before Thinking About a Clinical Trial,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-eurordis-medical-research-and-development,EURORDIS Medical Research and Development,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-evidence-assessment-framework-the-need-for-a-mindset-shif,"Evidence Assessment Framework: the need for a mindset shift among developers, regulators and HTAs",ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/evidence-assessment-framework-the-need-for-a-mindset-shift-among-developers-regulators-and-htas/,2026-08-24
erdera-learning-portal-finding-a-repurposing-candidate,Finding a Repurposing Candidate,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-framework-for-patient-engagement-in-clinical-trials,Framework for Patient Engagement in Clinical Trials,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/course/framework-for-patient-engagement-in-clinical-trials/,2026-08-24
erdera-learning-portal-fundamentals-of-statistics-in-clinical-trials,Fundamentals of Statistics in Clinical Trials,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-gpap-workshop-tier-1-variant-interpretation,GPAP Workshop: Tier 1 Variant Interpretation,ERDERA Learning Portal,workshop,date-status-unknown,https://erdera.org/course/gpap-workshop-tier-1-variant-interpretation/,2026-08-24
erdera-learning-portal-hma-ema-workshop-on-patient-registries,HMA/EMA Workshop on Patient Registries,ERDERA Learning Portal,workshop,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-how-to-submit-genomic-and-clinical-data-for-re-analysis-t,How to Submit Genomic and Clinical Data for Re-analysis to the ERDERA Diagnostic Research Workstream,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-interim-analysis-adaptations-and-master-protocols,"Interim Analysis, Adaptations and Master Protocols",ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-introduction-to-drug-repurposing,Introduction to Drug Repurposing,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-introduction-to-patient-reported-outcomes-and-considerati,Introduction to Patient-Reported Outcomes and considerations before including them in a clinical trial,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/introduction-on-patient-reported-outcomes-and-considerations-before-including-them-in-a-clinical-trial-study-case-from-the-ern-eurobloodnet/,2026-08-24
erdera-learning-portal-introduction-to-translational-medicine,Introduction to Translational Medicine,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-item-response-models-for-analysing-assessments-in-rare-di,Item Response Models for Analysing Assessments in Rare Diseases,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/item-response-models-for-analysing-assessments-in-rare-diseases/,2026-08-24
erdera-learning-portal-key-solutions-to-model-longitudinal-natural-history-data-,Key Solutions to Model Longitudinal Natural-History Data with Application in Ataxia Diseases,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/key-solutions-to-model-longitudinal-natural-history-data-with-application-in-ataxia-diseases/,2026-08-24
erdera-learning-portal-management-of-multinational-clinical-trials-for-rare-dise,Management of Multinational Clinical Trials for Rare Diseases,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/course/training-management-of-multinational-clinical-studies-rd/,2026-08-24
erdera-learning-portal-masterclass-on-eu-funding-and-proposal-preparation,Masterclass on EU Funding and Proposal Preparation,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/course/masterclass-on-eu-funding-and-proposal-preparation/,2026-08-24
erdera-learning-portal-medicines-research-and-development,Medicines Research and Development,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-multi-omics-toolbox-motbox,Multi-Omics Toolbox (MOTBOX),ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-patient-engagement-resource-center,Patient Engagement Resource Center,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-personalized-medicine-summer-school,Personalized Medicine Summer School,ERDERA Learning Portal,programme,next-date-tba,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-preclinical-development,Preclinical Development,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-project-management,Project Management,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-real-world-data-machine-learning-and-deep-analytics-in-ra,"Real-World Data, Machine Learning and Deep Analytics in Rare Diseases: regulatory-grade data collection",ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/rwd-in-rare-diseases-machine-learning-deep-analytics/,2026-08-24
erdera-learning-portal-realised-realising-clinical-trials-in-ultra-rare-diseases,RealiseD: Realising Clinical Trials in Ultra-Rare Diseases,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/course/realised-realising-clinical-trials-in-ultra-rare-diseases/,2026-08-24
erdera-learning-portal-regulation,Regulation,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-remedi4all-drug-repurposing-bootcamp-for-academics,REMEDi4ALL Drug Repurposing Bootcamp for Academics,ERDERA Learning Portal,workshop,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-remedi4all-hackathon-training-resources-for-drug-repurpos,REMEDi4ALL Hackathon — Training Resources for Drug Repurposing,ERDERA Learning Portal,workshop,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-replicated-n-of-1-randomized-controlled-trials-for-rare-d,Replicated N-of-1 Randomized Controlled Trials for Rare Diseases,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-repurposing-bootcamp-for-patient-representatives,Repurposing Bootcamp for Patient Representatives,ERDERA Learning Portal,workshop,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-securing-patient-access,Securing Patient Access,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-single-arm-rct-or-something-in-between-how-to-enrich-clin,"Single arm, RCT or something in between – how to enrich clinical trial design and analysis in rare diseases",ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/single-arm-rct-or-something-in-between-how-to-enrich-clinical-trial-design-and-analysis-in-rare-diseases/,2026-08-24
erdera-learning-portal-statistical-and-operational-challenges-with-master-protoc,Statistical and Operational Challenges with Master Protocols,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-statistical-methodology-for-very-small-and-very-large-stu,Statistical Methodology for Very Small (and Very Large) Studies,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-study-designs-in-epidemiology,Study Designs in Epidemiology,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-target-product-profile,Target Product Profile,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-the-assay-guidance-manual,The Assay Guidance Manual,ERDERA Learning Portal,other,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-the-statistical-evaluation-of-surrogate-endpoints-in-clin,The Statistical Evaluation of Surrogate Endpoints in Clinical Trials,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-learning-portal-translational-medicine-explained-tmex,Translational Medicine Explored (TMex) 2026,EATRIS,course,upcoming-event,https://eatris.eu/training/education-training-news/,2026-08-24
erdera-learning-portal-webinar-for-smes-and-academia-on-the-clinical-trials-regu,Webinar for SMEs and academia on the Clinical Trials Regulation and CTIS,ERDERA Learning Portal,webinar,date-status-unknown,https://erdera.org/course/webinar-for-small-and-medium-sized-enterprises-smes-and-academia-on-the-clinical-trials-regulation-and-the-clinical-trials-information-system-ctis/,2026-08-24
erdera-learning-portal-working-with-patients,Working with Patients,ERDERA Learning Portal,course,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24
erdera-partner-universities-european-university-diploma-in-rare-disease-research,European University Diploma in Rare Disease Research — ERDERA pilot,ERDERA partner universities,programme,next-date-tba,https://erdera.org/training-and-education/,2026-08-24
erdera-rare-diseases-virtual-platform-training-for-resources-joining-the-rare-di,Training for resources joining the Rare Diseases Virtual Platform,ERDERA / Rare Diseases Virtual Platform,other,date-status-unknown,https://erdera.org/event/training-for-resources-joining-the-rare-diseases-virtual-platform/,2026-08-24
ern-cranio-international-cleft-palate-foundation-icpf-2026-pre-congress-hands-on-training-for-surgeons-and-anesthesiologists,ICPF 2026 Pre-Congress Hands-On Training for Surgeons and Anesthesiologists,ERN CRANIO / International Cleft Palate Foundation,workshop,upcoming-event,https://www.ern-cranio.eu/news,2026-08-24
ern-euro-nmd-euro-nmd-academy-mitochondrial-disorders-course,EURO-NMD Academy — Mitochondrial Disorders Course,ERN EURO-NMD,course,date-status-unknown,https://ern-euro-nmd.eu/euro-nmd-academy-moodle/,2026-08-24
ern-eurobloodnet-ern-eurobloodnet-thursdays-webinars,ERN-EuroBloodNet Thursdays Webinars,ERN-EuroBloodNet,other,date-status-unknown,https://eurobloodnet.eu/education/thursdays-webinars/,2026-08-24
ern-ithaca-italian-clinical-genetics-working-group-eurodysmorpho-2026,EuroDysmorpho 2026,ERN ITHACA / Italian Clinical Genetics Working Group,workshop,upcoming-event,https://ern-ithaca.eu/events-news/eurodysmorpho/,2026-08-24
ern-rnd-eancampus-ataxia-and-hereditary-spastic-paraplegia-module,Postgraduate Curriculum in Rare Neurological Diseases — Ataxia/HSP module,ERN-RND / eanCampus,programme,next-date-tba,https://www.ern-rnd.eu/postgraduate-curriculum-in-rare-neurological-diseases/,2026-08-24
ern-rnd-euro-nmd-ern-rnd-scientific-symposium-registries-for-rare-neurological-diseases,ERN-RND Scientific Symposium: Registries for Rare Neurological Diseases,ERN-RND / EURO-NMD,webinar,upcoming-event,https://www.ern-rnd.eu/events/,2026-08-24
eshg-course-programme-portuguese-organizers-9th-course-basics-in-human-genetic-d,9th Course: Basics in Human Genetic Diagnostics,ESHG course programme / Portuguese organizers,course,upcoming-event,https://www.ebmg.eu/669.0.html,2026-08-24
eshg-other-courses-listing-external-organizers-genetic-half-hour,Genetic Half-Hour,ESHG “Other Courses” listing / external organizers,webinar,date-status-unknown,https://www.gfhev.de/termine/k230-26-genetic-half-hour-comprehensive-course-in-clinical-genetics,2026-08-24
eupati-eupati-patient-expert-training-programme-2026-2027-cohort,EUPATI Patient Expert Training Programme — 2026–2027 cohort,EUPATI,programme,next-date-tba,https://learning.eupati.eu/admin/tool/custompage/view.php?id=3,2026-08-24
european-board-of-medical-genetics-ebmg-ebmg-registration-for-genetic-counsellor,EBMG registration for Genetic Counsellors and Genetic Nurses,European Board of Medical Genetics (EBMG),other,date-status-unknown,https://www.ebmg.eu/880.0.html,2026-08-24
european-board-of-medical-genetics-ebmg-european-registered-clinical-laboratory-,European registered Clinical Laboratory Geneticist (ErCLG),European Board of Medical Genetics (EBMG),other,date-status-unknown,https://www.ebmg.eu/669.0.html,2026-08-24
european-board-of-rare-and-undiagnosed-diseases-uems-mjc-rud-european-certificat,European Certificate in Essentials in Rare and Undiagnosed Diseases (EC RUD),European Board of Rare and Undiagnosed Diseases / UEMS MJC-RUD,other,date-status-unknown,https://mjcrud-uems.pte.hu/content/european-board-rare-and-undiagnosed-diseases,2026-08-24
european-clinical-research-infrastructure-network-ecrin-rare-diseases-clinical-trials-toolbox,Rare Diseases Clinical Trials Toolbox,European Clinical Research Infrastructure Network (ECRIN),other,date-status-unknown,https://ecrin.org/rare-diseases-clinical-trials-toolbox,2026-08-24
european-commission-24-european-reference-networks-european-reference-networks-e,European Reference Networks — education entry points,European Commission / 24 European Reference Networks,other,date-status-unknown,https://health.ec.europa.eu/rare-diseases-and-european-reference-networks/european-reference-networks_en,2026-08-24
european-commission-dg-sante-european-health-data-space-webinar-series,European Health Data Space Webinar Series,European Commission — DG SANTE,other,date-status-unknown,https://health.ec.europa.eu/ehealth-digital-health-and-care/european-health-data-space-regulation-ehds/european-health-data-space-ehds-webinar-series_en,2026-08-24
european-cytogeneticists-association-eca-european-cytogeneticists-association-co,"European Cytogeneticists Association courses, including Goldrain and Nîmes",European Cytogeneticists Association (ECA),other,date-status-unknown,https://www.ebmg.eu/669.0.html,2026-08-24
european-cytogeneticists-association-goldrain-course-listed-by-eshg-19th-goldrai,19th Goldrain Course in Clinical Cytogenetics,European Cytogeneticists Association / Goldrain Course (listed by ESHG),course,starts-today,https://www.biologia.uniba.it/SEC/index.html,2026-08-24
european-reference-network-for-rare-neurological-diseases-ern-rnd-ern-rnd-online,ERN-RND Online Medical Education for Rare Neurological Diseases,European Reference Network for Rare Neurological Diseases (ERN-RND),webinar,date-status-unknown,https://www.ern-rnd.eu/education-training/online-medical-education-for-rare-neurological-diseases/,2026-08-24
european-society-of-human-genetics-eshg-6th-hereditary-cancer-genetics-course,6th Hereditary Cancer Genetics Course,European Society of Human Genetics (ESHG),course,upcoming-event,https://www.eshg.org/courses/hereditary-cancer-genetics-course,2026-08-24
european-society-of-human-genetics-eshg-basic-and-advanced-genetic-counselling-r,Basic and Advanced Genetic Counselling — recurring ESHG course series,European Society of Human Genetics (ESHG),course,date-status-unknown,https://www.eshg.org/courses,2026-08-24
european-society-of-human-genetics-eshg-cardiac-genetics-training-course-recurri,Cardiac Genetics Training Course — recurring ESHG course series,European Society of Human Genetics (ESHG),course,date-status-unknown,https://www.eshg.org/courses,2026-08-24
european-society-of-human-genetics-eshg-clinical-genomics-and-ngs-virtual-on-dem,Clinical Genomics and NGS — virtual/on-demand 2026 edition,European Society of Human Genetics (ESHG),course,date-status-unknown,https://www.eshg.org/bertinoro0-1,2026-08-24
european-society-of-human-genetics-eshg-clinical-ngs-data-interpretation-eshg-pr,Clinical NGS Data Interpretation — ESHG pre-conference course 2026,European Society of Human Genetics (ESHG),workshop,past-event,https://www.eshg.org/courses-archive,2026-08-24
european-society-of-human-genetics-eshg-covering-the-gaps-2026,Covering the Gaps 2026,European Society of Human Genetics (ESHG),course,upcoming-event,https://www.eshg.org/covering-the-gaps,2026-08-24
european-society-of-human-genetics-eshg-eshg-course-programme-current-and-forthc,ESHG course programme — current and forthcoming editions,European Society of Human Genetics (ESHG),other,date-status-unknown,https://www.eshg.org/courses,2026-08-24
european-society-of-human-genetics-eshg-eshg-mentorship-programme,ESHG Mentorship Programme,European Society of Human Genetics (ESHG),other,upcoming-event,https://www.eshg.org/education/eshg-mentorship-programme,2026-08-24
european-society-of-human-genetics-eshg-eshg-monthly-webinars-and-recordings,ESHG monthly webinars and recordings,European Society of Human Genetics (ESHG),webinar,date-status-unknown,https://www.eshg.org/education/webinar-conference-library,2026-08-24
european-society-of-human-genetics-eshg-eshg-observership-programme,ESHG Observership Programme,European Society of Human Genetics (ESHG),other,upcoming-event,https://www.eshg.org/education/eshg-observership-programme,2026-08-24
european-society-of-human-genetics-eshg-introduction-to-statistical-analysis-of-,Introduction to Statistical Analysis of GWAS — recurring ESHG course series,European Society of Human Genetics (ESHG),course,date-status-unknown,https://www.eshg.org/courses,2026-08-24
european-society-of-human-genetics-eshg-presentation-skills-workshop-eshg-2026,Presentation Skills Workshop — ESHG 2026,European Society of Human Genetics (ESHG),workshop,past-event,https://www.eshg.org/courses-archive,2026-08-24
european-society-of-human-genetics-eshg-teach-the-teacher-genetics,Teach the Teacher Genetics,European Society of Human Genetics (ESHG),workshop,past-event,https://www.eshg.org/courses-archive,2026-08-24
