id,title_bg,title_original,source_language,provider,resource_type,event_start,event_end,event_timezone,application_open,application_close,registration_open,registration_close,availability_open,availability_close,primary_status_bg,primary_status_code,official_url,verified_on,translation_status_bg,source_collection_url,delivery,topics,next_action_at
editscd-ern-eurobloodnet-eatris-regulatory-path-to-the-clinic,,Regulatory Path to the Clinic,en,EDITSCD / ERN-EuroBloodNet / EATRIS,webinar,2026-11-12,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://eurobloodnet.eu/education-2/patients/webinars/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/7/session-7-regulatory-path-to-the-clinic,2026-08-24,missing,https://eurobloodnet.eu/education-2/patients/webinars/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/editscd-ern-eurobloodnet-focus-on-genetic-therapy-for-people-living-with-scd/7/session-7-regulatory-path-to-the-clinic,online,,2026-11-11T22:00:00.000Z
editscd-ern-eurobloodnet-future-developments-and-crispr-cas9-for-sickle-cell-disease,,Future Developments and CRISPR/Cas9 for Sickle Cell Disease,en,EDITSCD / ERN-EuroBloodNet,webinar,2026-10-02,,Europe/Sofia,,,,,,,Предстоящо събитие,upcoming-event,https://editscd.eu/category/events/project-meetings/,2026-08-24,missing,https://editscd.eu/category/events/project-meetings/,online,,2026-10-01T21:00:00.000Z
ejp-rd-erdera-via-futurelearn-diagnosing-rare-diseases-from-the-clinic-to-resear,,Diagnosing Rare Diseases: from the Clinic to Research and Back,en,EJP RD / ERDERA via FutureLearn,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.futurelearn.com/courses/rare-genetic-disease,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
ejp-rd-erdera-via-futurelearn-from-lab-to-clinic-translational-research-for-rare,,From Lab to Clinic: Translational Research for Rare Diseases,en,EJP RD / ERDERA via FutureLearn,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.futurelearn.com/courses/introduction-to-translational-research-for-rare-diseases,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
ejp-rd-erdera-via-futurelearn-health-data-ethics-regulatory-frameworks-in-rare-d,,Health Data Ethics & Regulatory Frameworks in Rare Disease Research,en,EJP RD / ERDERA via FutureLearn,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.futurelearn.com/courses/health-data-ethics-and-regulatory-frameworks-in-rare-disease-research,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
ejp-rd-erdera-via-futurelearn-innovative-therapies-and-personalised-medicine-for,,Innovative Therapies and Personalised Medicine for Rare Diseases,en,EJP RD / ERDERA via FutureLearn,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.futurelearn.com/courses/innovative-therapies-and-personalised-medicine-for-rare-diseases,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
embl-ebi-training-data-collection-analysis-and-interpretation-for-genomic-medici,,"Data Collection, Analysis and Interpretation for Genomic Medicine",en,EMBL-EBI Training,workshop,2020-06-23,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.ebi.ac.uk/training/events/data-collection-analysis-and-interpretation-genomic-medicine/,2026-08-24,missing,https://www.ebi.ac.uk/training/events/data-collection-analysis-and-interpretation-genomic-medicine/,online,,
embl-ebi-training-methods-in-genomic-variant-calling,,Methods in Genomic Variant Calling,en,EMBL-EBI Training,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://www.ebi.ac.uk/training/online/courses/methods-in-bioinformatics/genomic-variants/methods-in-genomic-variant-calling/,2026-08-24,missing,https://www.ebi.ac.uk/training/online/courses/methods-in-bioinformatics/genomic-variants/methods-in-genomic-variant-calling/,online,,
embl-ebi-training-next-generation-sequencing-bioinformatics,,Next Generation Sequencing Bioinformatics,en,EMBL-EBI Training,workshop,2021-02-15,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://www.ebi.ac.uk/training/events/next-generation-sequencing-bioinformatics-virtual-0/,2026-08-24,missing,https://www.ebi.ac.uk/training/events/next-generation-sequencing-bioinformatics-virtual-0/,online,,
erdera-erdera-data-hub-tutorials-and-onboarding,,ERDERA Data Hub tutorials and onboarding,en,ERDERA,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/data-hub/,2026-08-24,missing,https://erdera.org/data-hub/,online,,
erdera-erdera-fair-data-bring-your-own-data-hackathons,,ERDERA FAIR Data Bring-Your-Own-Data Hackathons,en,ERDERA,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/training-and-education/,2026-08-24,missing,https://erdera.org/training-and-education/,unknown,,
erdera-erdera-fair-training-programme-20252027,,ERDERA FAIR Training Programme 2025–2027,en,ERDERA,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://erdera.org/news/fair-training-program-2025-2027-part-1-opens-registration/,2026-08-24,missing,https://erdera.org/news/fair-training-program-2025-2027-part-1-opens-registration/,online; in-person,,
erdera-learning-portal-2nd-erdera-training-for-young-advocates-for-rare-diseases,,2nd ERDERA Training for Young Advocates for Rare Diseases,en,ERDERA Learning Portal,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://erdera.org/course/ypt2026/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,unknown,,
erdera-learning-portal-bayesian-methods-in-clinical-research,,Bayesian Methods in Clinical Research,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-best-practice-to-enable-use-and-sharing-of-ipscs,,Best Practice to Enable Use and Sharing of iPSCs,en,ERDERA Learning Portal,webinar,2026-03-06,,Europe/Sofia,,,,,,,Минало събитие,past-event,https://erdera.org/course/best-practice-to-enable-use-and-sharing-of-ipscs/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
erdera-learning-portal-biomarker-commercialization-toolset,,Biomarker Commercialization Toolset,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-cell-and-gene-therapies-atmp-development,,Cell and Gene Therapies — ATMP Development,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-clinical-annotation-using-hpo-to-optimize-phenotypic-data,,Clinical Annotation Using HPO to Optimize Phenotypic Data Integration and Variant Prioritization,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-clinical-development,,Clinical Development,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/preclinical-development/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-collaborations,,Collaborations,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-composite-endpoints-including-patient-relevant-endpoints--2,,Composite Endpoints Including Patient-Relevant Endpoints: Quality of Life,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-composite-endpoints-including-patient-relevant-endpoints-,,Composite Endpoints Including Patient-Relevant Endpoints (Quality of Life),en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-current-research-services-available-for-the-rare-diseases,,Current Research Services Available for the Rare Diseases Community,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-definition-of-orphan-drug-by-ema,,Definition of Orphan Drug by EMA,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/definition-of-orphan-drug-by-the-ema/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-design-and-interpretation-of-clinical-trials,,Design and Interpretation of Clinical Trials,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-designing-and-conducting-clinical-trials-in-rare-diseases,,Designing and Conducting Clinical Trials in Rare Diseases — What industries expect for partnering with clinical sites,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/designing-and-conducting-clinical-trials-in-rare-diseases-what-industries-expect-for-partnering-with-clinical-sites/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-does-randomization-matter-in-clinical-trials-second-porta,,Does Randomization Matter in Clinical Trials? — second portal record,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-does-randomization-matter-in-clinical-trials,,Does Randomization Matter in Clinical Trials?,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-early-phase-trial-designs-in-rare-diseases,,Early-Phase Trial Designs in Rare Diseases,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-educational-webinar-2-practical-guide-on-how-to-use-the-c,,Educational Webinar 2: Practical guide on how to use the Catalogue of Services and the IMT,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-ejp-rd-orphanet-training-sessions-orphanet-nomenclature-o,,EJP-RD Orphanet Training Sessions — Orphanet Nomenclature of Rare Diseases,en,ERDERA Learning Portal,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://erdera.org/course/ejp-rd-orphanet-training-sessions/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-enhancing-patient-centricity-in-rare-disease-clinical-tri,,Enhancing Patient-Centricity in Rare Disease Clinical Trials,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-erdera-diagnostic-research-workstream-webinar-series-an-o,,ERDERA diagnostic research workstream webinar series – An overview (session 1),en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/erdera-diagnostic-research-workstream-webinar-series-an-overview-session-1/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-essential-requirements-before-thinking-about-a-clinical-t,,Essential Requirements Before Thinking About a Clinical Trial,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-eurordis-medical-research-and-development,,EURORDIS Medical Research and Development,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-evidence-assessment-framework-the-need-for-a-mindset-shif,,"Evidence Assessment Framework: the need for a mindset shift among developers, regulators and HTAs",en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/evidence-assessment-framework-the-need-for-a-mindset-shift-among-developers-regulators-and-htas/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-finding-a-repurposing-candidate,,Finding a Repurposing Candidate,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-framework-for-patient-engagement-in-clinical-trials,,Framework for Patient Engagement in Clinical Trials,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/framework-for-patient-engagement-in-clinical-trials/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-fundamentals-of-statistics-in-clinical-trials,,Fundamentals of Statistics in Clinical Trials,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-gpap-workshop-tier-1-variant-interpretation,,GPAP Workshop: Tier 1 Variant Interpretation,en,ERDERA Learning Portal,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/gpap-workshop-tier-1-variant-interpretation/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-hma-ema-workshop-on-patient-registries,,HMA/EMA Workshop on Patient Registries,en,ERDERA Learning Portal,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-how-to-submit-genomic-and-clinical-data-for-re-analysis-t,,How to Submit Genomic and Clinical Data for Re-analysis to the ERDERA Diagnostic Research Workstream,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-interim-analysis-adaptations-and-master-protocols,,"Interim Analysis, Adaptations and Master Protocols",en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-introduction-to-drug-repurposing,,Introduction to Drug Repurposing,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-introduction-to-patient-reported-outcomes-and-considerati,,Introduction to Patient-Reported Outcomes and considerations before including them in a clinical trial,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/introduction-on-patient-reported-outcomes-and-considerations-before-including-them-in-a-clinical-trial-study-case-from-the-ern-eurobloodnet/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-introduction-to-translational-medicine,,Introduction to Translational Medicine,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-item-response-models-for-analysing-assessments-in-rare-di,,Item Response Models for Analysing Assessments in Rare Diseases,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/item-response-models-for-analysing-assessments-in-rare-diseases/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-key-solutions-to-model-longitudinal-natural-history-data-,,Key Solutions to Model Longitudinal Natural-History Data with Application in Ataxia Diseases,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/key-solutions-to-model-longitudinal-natural-history-data-with-application-in-ataxia-diseases/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-management-of-multinational-clinical-trials-for-rare-dise,,Management of Multinational Clinical Trials for Rare Diseases,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/training-management-of-multinational-clinical-studies-rd/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online,,
erdera-learning-portal-masterclass-on-eu-funding-and-proposal-preparation,,Masterclass on EU Funding and Proposal Preparation,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/masterclass-on-eu-funding-and-proposal-preparation/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-medicines-research-and-development,,Medicines Research and Development,en,ERDERA Learning Portal,course,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-multi-omics-toolbox-motbox,,Multi-Omics Toolbox (MOTBOX),en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-patient-engagement-resource-center,,Patient Engagement Resource Center,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-personalized-medicine-summer-school,,Personalized Medicine Summer School,en,ERDERA Learning Portal,programme,,,,,,,,,,Следваща дата предстои да бъде обявена,next-date-tba,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-preclinical-development,,Preclinical Development,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-project-management,,Project Management,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-real-world-data-machine-learning-and-deep-analytics-in-ra,,"Real-World Data, Machine Learning and Deep Analytics in Rare Diseases: regulatory-grade data collection",en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/rwd-in-rare-diseases-machine-learning-deep-analytics/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-realised-realising-clinical-trials-in-ultra-rare-diseases,,RealiseD: Realising Clinical Trials in Ultra-Rare Diseases,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/course/realised-realising-clinical-trials-in-ultra-rare-diseases/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-regulation,,Regulation,en,ERDERA Learning Portal,other,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-remedi4all-drug-repurposing-bootcamp-for-academics,,REMEDi4ALL Drug Repurposing Bootcamp for Academics,en,ERDERA Learning Portal,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-remedi4all-hackathon-training-resources-for-drug-repurpos,,REMEDi4ALL Hackathon — Training Resources for Drug Repurposing,en,ERDERA Learning Portal,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-replicated-n-of-1-randomized-controlled-trials-for-rare-d,,Replicated N-of-1 Randomized Controlled Trials for Rare Diseases,en,ERDERA Learning Portal,webinar,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
erdera-learning-portal-repurposing-bootcamp-for-patient-representatives,,Repurposing Bootcamp for Patient Representatives,en,ERDERA Learning Portal,workshop,,,,,,,,,,Датата не е потвърдена,date-status-unknown,https://erdera.org/erdera-learning-portal/,2026-08-24,missing,https://erdera.org/erdera-learning-portal/,online; in-person,,
